Category,Position
,
Administration and guest service,assistant purser
,
Administration and guest service,guest service associate
,
Administration and guest service,hotel purser
,
Administration and guest service,HR officer
,
Administration and guest service,IT officer
,
Casino,cashier
,
Casino,casino host
,
Casino,casino manager
,
Casino,dealer
,
Casino,slot technician
,
Culinary and galley,baker
,
Culinary and galley,butcher
,
Culinary and galley,commis chef
,
Culinary and galley,executive chef
,
Culinary and galley,galley steward
,
Culinary and galley,pastry chef
,
Culinary and galley,sous chef
,
Entertainment - Brand specific,TDE (Royal Caribbean)
,
Entertainment - Cast and musician / specialty performer,band musician
,
Entertainment - Cast and musician / specialty performer,diver
,
Entertainment - Cast and musician / specialty performer,ice skater
,
Entertainment - Cast and musician / specialty performer,music director
,
Entertainment - Cast and musician / specialty performer,orchestra musician
,
Entertainment - Cast and musician / specialty performer,production dancer
,
Entertainment - Cast and musician / specialty performer,production vocalist
,
Entertainment - Cast and musician / specialty performer,scuba diver
,
Entertainment - Cast and musician / specialty performer,slackliner
,
Entertainment - Cast and musician / specialty performer,synchronized swimmer
,
Entertainment - Guest entertainer,acrobat
,
Entertainment - Guest entertainer,aerialist
,
Entertainment - Guest entertainer,comedian
,
Entertainment - Guest entertainer,dancer
,
Entertainment - Guest entertainer,hypnotist
,
Entertainment - Guest entertainer,juggler
,
Entertainment - Guest entertainer,lecturer
,
Entertainment - Guest entertainer,magician
,
Entertainment - Guest entertainer,multi‑instrumentalist
,
Entertainment - Guest entertainer,musician
,
Entertainment - Guest entertainer,singer
,
Entertainment - Program and leadership,activity host
,
Entertainment - Program and leadership,assistant cruise director
,
Entertainment - Program and leadership,cruise director
,
Entertainment - Program and leadership,entertainment host
,
Entertainment - Program and leadership,lifeguard
,
Entertainment - Program and leadership,pool attendant
,
Entertainment - Program and leadership,sport staff
,
Entertainment - Program and leadership,youth staff
,
Entertainment - Technical,automation technician
,
Entertainment - Technical,broadcast technician
,
Entertainment - Technical,costume technician
,
Entertainment - Technical,light technician
,
Entertainment - Technical,lounge technician
,
Entertainment - Technical,production manager
,
Entertainment - Technical,props technician
,
Entertainment - Technical,rigging technician
,
Entertainment - Technical,sound technician
,
Entertainment - Technical,stage manager
,
Entertainment - Technical,stage staff
,
Entertainment - Technical,video technician
,
Entertainment - Technical,wardrobe supervisor
,
Food and beverage,assistant waiter
,
Food and beverage,bar manager
,
Food and beverage,barista
,
Food and beverage,bartender
,
Food and beverage,food and beverage director
,
Food and beverage,head waiter
,
Food and beverage,maitre d’
,
Food and beverage,restaurant manager
,
Food and beverage,room service attendant
,
Food and beverage,sommelier
,
Food and beverage,waiter
,
Hotel and housekeeping,assistant hotel director
,
Hotel and housekeeping,butler
,
Hotel and housekeeping,cabin steward
,
Hotel and housekeeping,executive housekeeper
,
Hotel and housekeeping,florist
,
Hotel and housekeeping,hotel director
,
Hotel and housekeeping,housekeeping supervisor
,
Hotel and housekeeping,laundry attendant
,
Hotel and housekeeping,public area attendant
,
Hotel and housekeeping,royal genie
,
Medical,doctor
,
Medical,medical technician
,
Medical,nurse
,
Other,crew manager
,
Other,crew welfare officer
,
Other,librarian
,
Other,training officer
,
Photo and media,photo gallery host
,
Photo and media,photographer
,
Photo and media,videographer
,
Retail and art,art associate
,
Retail and art,art auctioneer
,
Retail and art,jewelry specialist
,
Retail and art,retail manager
,
Retail and art,shop assistant
,
Shore excursion,assistant shore excursion staff
,
Shore excursion,shore excursion manager
,
Shore excursion,tour escort
,
"Spa, fitness and salon",beautician
,
"Spa, fitness and salon",fitness instructor
,
"Spa, fitness and salon",hairdresser
,
"Spa, fitness and salon",massage therapist
,
"Spa, fitness and salon",personal trainer
,
"Spa, fitness and salon",spa manager
,
Technical and deck,able seaman
,
Technical and deck,bosun
,
Technical and deck,captain
,
Technical and deck,chief engineer
,
Technical and deck,deck officer
,
Technical and deck,electrician
,
Technical and deck,engineer
,
Technical and deck,HVAC technician
,
Technical and deck,oiler
,
Technical and deck,plumber
,
Technical and deck,quartermaster
,
Technical and deck,safety officer
,
Technical and deck,second engineer
,
Technical and deck,staff captain
,
Technical and deck,third engineer
